,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
1241,Marcin Prachnio," Jul 14, 1988", 15-5-0,205,Orthodox,,75,74
1242,Wagner Prado," Dec 30, 1986", 12-3-0 (1 NC),205,Southpaw,CALDEIRAO,72,74
1243,Trevor Prangley," Aug 24, 1972", 34-11-2,185,Orthodox,,73,75
1244,Ricardo Prasel," Jun 02, 1990", 10-2-0,238,Orthodox,ALEMAO,79,78
1245,Carlo Prater," Jun 25, 1981", 31-18-1,155,Switch,NEO,71,72
1246,Michel Prazeres," Jul 25, 1981", 26-4-0,170,Orthodox,TRACTOR,66,67
1247,Kyle Prepolec," Aug 30, 1989", 12-7-0,170,Southpaw,,70,70
1248,Niko Price," Sep 29, 1989", 14-5-0 (2 NC),170,Orthodox,THE HYBRID,72,76
1249,Jiri Prochazka," Oct 14, 1992", 28-3-1,205,Orthodox,DENISA,75,80
1250,Lara Procopio," Nov 14, 1995", 7-2-0,125,Orthodox,,64,67
1251,Joe Proctor," Aug 10, 1985", 11-5-0,155,Orthodox,,70,72
1252,Cole Province," Jan 17, 1981", 6-2-0 (1 NC),145,Orthodox,,69,68
1253,Lucie Pudilova," Jun 13, 1994", 8-6-0,125,Orthodox,,68,67
1254,Claudio Puelles," Apr 21, 1996", 11-2-0,155,Southpaw,EL NINO,70,72
1255,Jens Pulver," Dec 06, 1974", 27-19-1,145,Southpaw,LITTLE EVIL,67,70
1256,CM Punk," Oct 26, 1978", 0-1-0 (1 NC),170,Orthodox,,73,73
1257,Joe Pyfer," Sep 17, 1996", 7-2-0,185,Orthodox,BODYBAGZ,74,75
1258,Mike Pyle," Sep 18, 1975", 27-14-1,170,Orthodox,QUICKSAND,72,74
1259,Billy Quarantillo," Dec 08, 1988", 16-3-0,145,Orthodox,,70,70
1260,Nate Quarry," Mar 18, 1972", 12-4-0,185,Switch,ROCK,72,72
1261,Michel Quinones," Dec 22, 1984", 8-3-0,155,Orthodox,EL CAPO,70,73
1262,Jose Quinonez," Jul 28, 1990", 9-5-0,135,Southpaw,TECO,68,69
1263,Ricky Rainey," Jun 29, 1983", 12-6-0,170,Switch,THE SNIPER,73,77
1264,Shavkat Rakhmonov," Oct 23, 1994", 14-0-0,170,Orthodox,NOMAD,73,77
1265,Aleksandar Rakic," Feb 06, 1992", 14-2-0,205,Orthodox,,76,78
1266,Ricardo Ramos," Aug 01, 1995", 15-3-0,145,Orthodox,,69,72
1267,Davi Ramos," Nov 05, 1986", 10-4-0,155,Orthodox,TASMANIAN DEVIL,66,70
1268,Ed Ratcliff," Mar 05, 1983", 7-3-0,155,Orthodox,9MM,70,71
1269,Bec Rawlings," Feb 11, 1989", 7-8-0,125,Orthodox,ROWDY,66,64
1270,Stevie Ray," Mar 25, 1990", 23-9-0,155,Southpaw,BRAVEHEART,70,70
1271,Abdul Razak Alhassan," Aug 11, 1985", 10-4-0,170,Orthodox,,70,73
1272,Rafael Rebello," Oct 16, 1980", 9-4-0,135,Orthodox,RAFINHA,65,67
1273,Greg Rebello," Jun 13, 1982", 24-8-0,240,Southpaw,RIBZ,72,73
1274,Karl Reed," Oct 27, 1988", 6-1-0,205,Orthodox,NO WORRIES,75,78
1275,Elise Reed," Dec 05, 1992", 4-1-0,125,Orthodox,,63,63
1276,Stephen Regman," Aug 05, 1991", 9-4-0,185,Orthodox,,71,76
1277,Wilson Reis," Jan 06, 1985", 23-10-0,125,Southpaw,,64,65
1278,Goran Reljic," Mar 20, 1984", 15-8-0,205,Southpaw,,75,81
1279,Chance Rencountre," Dec 31, 1986", 14-4-0,170,Southpaw,BLACK EAGLE,74,75
1280,Marion Reneau," Jun 20, 1977", 9-8-1,135,Orthodox,THE BELIZEAN BRUISER,66,68
1281,Marco Polo Reyes," Nov 07, 1984", 8-7-0,155,Orthodox,,71,71
1282,Dominick Reyes," Dec 26, 1989", 12-3-0,205,Southpaw,THE DEVASTATOR,76,77
1283,Alex Reyes," Oct 02, 1986", 13-3-0,170,Orthodox,THE EXECUTIONER,71,73
1284,Victor Reyna," Aug 05, 1986", 11-5-0 (1 NC),170,Southpaw,KELEVRA,71,74
1285,Mike Rhodes," Dec 04, 1989", 10-5-0,170,Orthodox,BIGGIE,73,74
1286,Amanda Ribas," Aug 26, 1993", 10-2-0,125,Orthodox,,63,66
1287,Mike Ricci," Mar 18, 1986", 11-5-0,155,Southpaw,THE MARTIAN,72,76
1288,Tabatha Ricci," Feb 21, 1995", 5-1-0,125,Orthodox,BABY SHARK,61,61
1289,Brad Riddell," Sep 30, 1991", 10-1-0,155,Orthodox,QUAKE,67,71
1290,Matthew Riddle," Jan 14, 1986", 8-3-0 (2 NC),170,Southpaw,DEEP WATERS,73,76
1291,Joe Riggs," Sep 23, 1982", 44-17-0 (1 NC),185,Southpaw,DIESEL,72,70
1292,Aaron Riley," Dec 09, 1980", 30-14-1,155,Southpaw,,68,69
1293,Jordan Rinaldi," Sep 25, 1987", 14-7-0,145,Orthodox,ALL DAY,70,72
1294,Nick Ring," Feb 10, 1979", 14-4-0,185,Southpaw,THE PROMISE,72,74
1295,Mike Rio," Jul 06, 1981", 10-5-0,155,Orthodox,THE WOLVERINE,70,70
1296,Diego Rivas," Nov 11, 1991", 10-2-0,145,Orthodox,PITBULL,68,69
1297,Jorge Rivera," Feb 28, 1972", 20-9-0,185,Orthodox,EL CONQUISTADOR,73,73
1298,Francisco Rivera," Oct 08, 1981", 11-7-0 (1 NC),135,Orthodox,CISCO,68,70
1299,Jimmie Rivera," Jun 29, 1989", 23-5-0,135,Orthodox,EL TERROR,64,68
1300,Irwin Rivera," Feb 14, 1989", 10-6-0,135,Southpaw,THE BEAST,66,67
1301,Jerome Rivera," Apr 22, 1995", 10-6-0,125,Southpaw,RENEGADE,70,72
1302,Kali Robbins," Jul 05, 1984", 6-3-0,115,Orthodox,POP TART,63,63
1303,Karl Roberson," Oct 04, 1990", 9-4-0,185,Southpaw,BABY K,73,74
1304,Daniel Roberts," Aug 05, 1980", 15-7-0,170,Southpaw,NINJA,70,74
1305,Danny Roberts," Jul 14, 1987", 17-5-0,170,Southpaw,HOT CHOCOLATE,73,74
1306,Roosevelt Roberts," Feb 11, 1994", 10-2-0 (1 NC),155,Orthodox,THE PREDATOR,74,73
1307,Kenny Robertson," Feb 14, 1984", 15-5-0,170,Orthodox,,70,74
1308,Gillian Robertson," May 17, 1995", 9-6-0,125,Orthodox,THE SAVAGE,65,63
1309,Alvin Robinson," Jul 16, 1982", 15-9-0,155,Southpaw,,69,68
1310,Damonte Robinson," Jun 10, 1995", 6-1-1,155,Unknown,,72,77
1311,Vagner Rocha," Jun 06, 1982", 14-4-0,155,Orthodox,CEARA,70,73
1312,Carlos Eduardo Rocha," Jul 12, 1981", 9-4-0,170,Orthodox,TA DANADO,70,73
1313,Luke Rockhold," Oct 17, 1984", 16-5-0,205,Southpaw,,75,77
1314,Gregory Rodrigues," Feb 17, 1992", 8-3-0,185,Orthodox,ROBOCOP,75,75
1315,Yair Rodriguez," Oct 06, 1992", 13-2-0 (1 NC),145,Orthodox,EL PANTERA,71,71
1316,Mike Rodriguez," Nov 28, 1988", 11-6-0 (1 NC),205,Southpaw,SLO MIKE,76,82
1317,Marina Rodriguez," Apr 29, 1987", 14-1-2,115,Orthodox,,66,65
1318,Daniel Rodriguez," Dec 31, 1986", 15-2-0,170,Southpaw,D-ROD,73,74
1319,Ray Rodriguez," Dec 10, 1987", 16-8-0,135,Orthodox,THE JUDGE,67,70
1320,Luis Rodriguez," May 07, 1999", 11-2-0,125,Orthodox,LAZY BOY,66,65
1321,Drako Rodriguez," Jun 16, 1996", 7-2-0,135,Orthodox,,68,69
1322,Victor Rodriguez," Sep 05, 1992", 7-4-0,125,Switch,VICIOUS,65,67
1323,Marcos Rogerio de Lima," Jun 25, 1985", 18-8-1,253,Orthodox,PEZAO,73,75
1324,Brett Rogers," Feb 17, 1981", 17-10-0 (1 NC),265,Orthodox,THE GRIM,77,81
1325,Max Rohskopf," Sep 27, 1994", 5-1-0,155,Orthodox,RATED R,73,71
1326,Marcelo Rojo," Jul 02, 1988", 16-8-0,145,Orthodox,PITBULL,68,71
1327,Shane Roller," Jul 14, 1979", 11-7-0,155,Orthodox,,70,72
1328,Alexandr Romanov," Dec 11, 1990", 14-0-0,262,Southpaw,KING KONG,74,75
1329,Ricardo Romero," Apr 15, 1978", 11-3-0,205,Orthodox,,72,76
1330,Yoel Romero," Apr 30, 1977", 13-5-0,185,Southpaw,SOLDIER OF GOD,72,73
1331,Anthony Romero," Feb 25, 1997", 8-0-0,155,Orthodox,THE GENIUS,71,70
1332,Mara Romero Borella," Jun 03, 1986", 12-9-0 (2 NC),125,Orthodox,,66,69
1333,Rong Zhu," Mar 07, 2000", 17-4-0,155,Orthodox,,69,71
1334,Jesse Ronson," Dec 24, 1985", 21-10-0 (1 NC),170,Southpaw,THE BODY SNATCHER,70,70
1335,George Roop," Nov 10, 1981", 15-13-1,135,Orthodox,,73,72
1336,Aaron Rosa," May 28, 1983", 18-6-0,205,Orthodox,,76,77
1337,Charles Rosa," Aug 24, 1986", 14-5-0,145,Switch,BOSTON STRONG,69,69
1338,Karol Rosa," Dec 30, 1994", 14-3-0,135,Orthodox,,65,67
1339,Hilarie Rose," Nov 11, 1992", 4-2-0,115,Orthodox,,63,63
1340,Jared Rosholt," Aug 04, 1986", 14-4-0,265,Orthodox,,74,75
1341,Ben Rothwell," Oct 17, 1981", 39-13-0,265,Orthodox,,76,78
1342,Khalil Rountree Jr.," Feb 26, 1990", 9-5-0 (1 NC),205,Southpaw,,73,76
1343,Ronda Rousey," Feb 01, 1987", 12-2-0,135,Orthodox,ROWDY,67,66
1344,Phil Rowe," Jul 18, 1990", 8-3-0,170,Orthodox,THE FRESH PRINCE,75,80
1345,Brandon Royval," Aug 16, 1992", 12-5-0,125,Southpaw,RAW DAWG,69,68
1346,Jairzinho Rozenstruik," Mar 17, 1988", 12-2-0,242,Orthodox,BIGI BOY,74,78
1347,Mauricio Rua," Nov 25, 1981", 27-12-1,205,Orthodox,SHOGUN,73,76
1348,Mike Russow," Sep 11, 1976", 15-3-0 (1 NC),255,Orthodox,,73,73
1349,Danny Sabatello," Mar 31, 1993", 9-1-0,135,Orthodox,ITALIAN GANGSTER,70,71
1350,Pat Sabatini," Nov 09, 1990", 14-3-0,145,Orthodox,,68,70
1351,Amir Sadollah," Aug 27, 1980", 6-5-0,170,Orthodox,,70,75
1352,Frankie Saenz," Aug 12, 1980", 13-7-0,135,Orthodox,,66,66
1353,Saparbeg Safarov," Oct 14, 1986", 9-3-0,185,Orthodox,,73,78
1354,Tarec Saffiedine," Sep 06, 1986", 16-7-0,170,Switch,SPONGE,70,70
1355,Jason Saggo," Nov 23, 1985", 12-4-0,155,Orthodox,,71,71
1356,Ovince Saint Preux," Apr 08, 1983", 25-16-0,205,Southpaw,,75,80
1357,Lukasz Sajewski," Nov 27, 1990", 13-3-0,155,Orthodox,WOOKIE,68,71
1358,Augusto Sakai," May 09, 1991", 15-3-1,265,Orthodox,,75,77
1359,Alessio Sakara," Sep 02, 1981", 19-11-0 (2 NC),185,Orthodox,LEGIONARIUS,72,72
1360,Gokhan Saki," Oct 19, 1983", 1-2-0,205,Orthodox,THE REBEL,72,73
1361,Justin Salas," Mar 13, 1982", 12-7-0,155,Southpaw,J-BOMB,68,70
1362,Luis Saldana," Jan 27, 1991", 15-6-0,145,Orthodox,,71,73
1363,Muslim Salikhov," Jun 09, 1984", 18-2-0,170,Orthodox,KING OF KUNG FU,71,70
1364,Boston Salmon," Nov 20, 1990", 6-3-0,135,Southpaw,BOOM BOOM,69,69
1365,John Salter," Mar 21, 1985", 14-3-0,185,Southpaw,,73,74
1366,Josh Samman," Mar 14, 1988", 13-4-0,185,Orthodox,ANQA,75,79
1367,Josh Sampo," Jul 24, 1984", 11-5-0,125,Orthodox,THE GREMLIN,64,64
1368,Diego Sanchez," Dec 31, 1981", 31-13-0,170,Southpaw,NIGHTMARE,70,72
1369,Eddie Sanchez," Nov 04, 1982", 15-8-0,230,Orthodox,THE MANIC HISPANIC,74,74
1370,Joby Sanchez," Jun 24, 1991", 11-4-0,135,Orthodox,,66,68
1371,Emmanuel Sanchez," Aug 11, 1990", 15-3-0,145,Unknown,EL MATADOR,69,71
1372,Andrew Sanchez," Apr 08, 1988", 13-6-0,185,Orthodox,EL DIRTE,73,74
1373,Robert Sanchez," Mar 05, 1986", 8-2-0,125,Orthodox,LITTLEFURY,66,66
1374,Luke Sanders," Dec 12, 1985", 13-5-0,135,Southpaw,COOL HAND,66,67
1375,Jerrod Sanders," Oct 01, 1979", 16-3-0 (1 NC),135,Orthodox,J-REAZIE,68,72
1376,Cory Sandhagen," Apr 20, 1992", 14-3-0,135,Switch,,71,70
1377,Hector Sandoval," Jul 19, 1986", 14-4-0,125,Orthodox,KID ALEX,62,64
1378,Duda Santana," Jan 10, 1996", 3-1-0,145,Orthodox,COWBOYZINHA,67,73
1379,Shaheen Santana," Jun 04, 1991", 6-1-0,155,Orthodox,SHAZAM,73,75
1380,Jorge Santiago," Oct 09, 1980", 25-12-0,170,Orthodox,THE SANDMAN,73,75
1381,Mike Santiago," Jul 28, 1989", 19-12-0,145,Orthodox,,70,69
1382,Richie Santiago," Oct 10, 1992", 7-2-0,135,Southpaw,THE MILFORD MAULER,67,67
1383,Evangelista Santos," Dec 12, 1977", 21-18-0,170,Orthodox,CYBORG,70,76
1384,Iliarde Santos," Sep 25, 1980", 30-13-1 (1 NC),125,Orthodox,,65,67
1385,Leonardo Santos," Feb 05, 1980", 18-5-1,155,Orthodox,,72,75
1386,Thiago Santos," Jan 07, 1984", 21-9-0,205,Orthodox,MARRETA,74,76
1387,Taila Santos," Jun 22, 1993", 17-1-0,125,Orthodox,,66,68
1388,Daniel Sarafian," Aug 21, 1982", 10-6-0,185,Orthodox,,69,73
1389,Yuta Sasaki," Oct 07, 1989", 21-6-2,125,Southpaw,ULKA,70,71
1390,Paul Sass," Aug 04, 1988", 14-2-0,155,Orthodox,,72,73
1391,Takashi Sato," Jun 09, 1990", 16-4-0,170,Southpaw,TEN,70,73
1392,Ben Saunders," Apr 13, 1983", 22-13-2,170,Orthodox,KILLA B,74,77
1393,Matt Sayles," Feb 21, 1994", 8-3-0,145,Orthodox,,67,68
1394,Eric Schafer," Sep 20, 1977", 14-8-2,185,Orthodox,RED,75,76
1395,Brendan Schaub," Mar 18, 1983", 10-5-0,245,Orthodox,BIG BROWN,76,78
1396,Matt Schnell," Jan 15, 1990", 15-6-0,125,Orthodox,DANGER,68,70
1397,Justin Scoggins," May 02, 1992", 11-5-0,125,Southpaw,,67,66
1398,Brad Scott," Jun 24, 1989", 11-6-0,170,Orthodox,BEAR,73,76
1399,Neil Seery," Aug 30, 1979", 16-13-0,125,Orthodox,2TAP,64,64
1400,Stefan Sekulic," Feb 12, 1992", 12-4-0,170,Southpaw,,72,75
1401,Pete Sell," Aug 05, 1982", 10-7-0,170,Orthodox,DRAGO,71,75
1402,Matthew Semelsberger," Nov 23, 1992", 8-3-0,170,Switch,SEMI THE JEDI,73,75
1403,Mackens Semerzier," Nov 03, 1980", 8-4-0 (1 NC),145,Orthodox,DA MENACE,69,72
1404,Alex Serdyukov," May 24, 1980", 8-5-0,170,Orthodox,THE RUSSIAN CRUSHER,74,74
1405,Matt Serra," Jun 02, 1974", 11-7-0,170,Orthodox,THE TERRA,66,68
1406,Fredy Serrano," Sep 22, 1979", 3-2-0,125,Orthodox,EL PROFE,63,65
1407,Edmen Shahbazyan," Nov 20, 1997", 11-2-0,185,Orthodox,THE GOLDEN BOY,74,74
1408,Leon Shahbazyan," Nov 18, 1995", 7-2-0,170,Orthodox,,76,74
1409,Liliya Shakirova," Oct 24, 1991", 8-2-0,125,Orthodox,,64,65
1410,Kamal Shalorus," Aug 27, 1972", 9-5-2,155,Orthodox,PRINCE OF PERSIA,68,68
1411,Ken Shamrock," Feb 11, 1964", 28-17-2,205,Orthodox,THE WORLD'S MOST DANGEROUS MAN,73,72
1412,Eric Shelton," Feb 02, 1991", 12-6-0,125,Orthodox,SHOWTIME,66,68
1413,Sean Sherk," Aug 05, 1973", 36-4-1,155,Orthodox,THE MUSCLE SHARK,66,67
1414,Chase Sherman," Nov 16, 1989", 15-7-0,250,Orthodox,THE VANILLA GORILLA,76,78
1415,Valentina Shevchenko," Mar 07, 1988", 21-3-0,125,Southpaw,BULLET,65,66
1416,Antonina Shevchenko," Nov 20, 1984", 9-3-0,125,Southpaw,LA PANTERA,68,67
1417,Jake Shields," Jan 09, 1979", 31-9-1 (1 NC),170,Orthodox,,72,72
1418,Henrique Shiguemoto," Jun 22, 1989", 13-4-1,185,Orthodox,,71,72
1419,Jack Shore," Feb 06, 1995", 14-0-0,135,Orthodox,TANK,68,71
1420,Ivan Shtyrkov," Jun 09, 1988", 15-0-1,205,Orthodox,URAL HULK,72,74
1421,Sam Sicilia," Feb 01, 1986", 15-8-0,145,Orthodox,,68,67
1422,Steven Siler," Feb 15, 1987", 29-16-0,145,Orthodox,SUPER,71,70
1423,Anderson Silva," Apr 14, 1975", 34-11-0 (1 NC),185,Southpaw,THE SPIDER,74,77
1424,Wanderlei Silva," Jul 03, 1976", 35-13-1 (1 NC),205,Orthodox,THE AXE MURDERER,71,74
1425,Thiago Silva," Nov 12, 1982", 19-6-0 (2 NC),205,Orthodox,,74,74
1426,Antonio Silva," Sep 14, 1979", 19-12-1,264,Orthodox,BIGFOOT,76,82
1427,Erick Silva," Jun 21, 1984", 19-9-0 (1 NC),170,Orthodox,,72,74
1428,Leandro Silva," Nov 11, 1985", 20-6-1 (1 NC),155,Orthodox,BUSCAPE,69,72
1429,Claudio Silva," Sep 06, 1982", 14-3-0,170,Southpaw,HANNIBAL,71,71
1430,Joaquim Silva," Feb 05, 1989", 11-4-0,155,Southpaw,NETTO BJJ,68,69
1431,Felipe Silva," May 08, 1984", 8-2-0,155,Orthodox,,72,77
1432,Gabriel Silva," Aug 26, 1994", 8-2-0,135,Orthodox,,66,71
1433,Jacob Silva," Feb 23, 1988", 6-4-0,125,Orthodox,LIL ANIMAL,65,67
1434,Douglas Silva de Andrade," Jun 22, 1985", 26-4-0 (1 NC),145,Orthodox,D SILVA,67,68
1435,Elias Silverio," Sep 22, 1986", 13-3-0,155,Orthodox,XUXU,71,73
1436,Jamey Simmons," Sep 11, 1992", 7-3-0,145,Orthodox,THE AFRO SAMURAI,66,70
1437,Ricky Simon," Aug 31, 1992", 18-3-0,135,Orthodox,,66,69
1438,Aaron Simpson," Jul 20, 1974", 12-5-0,170,Orthodox,A-TRAIN,72,73
1439,Tony Sims," Oct 14, 1985", 12-4-0,155,Southpaw,,71,70
1440,Everett Sims," Sep 04, 1988", 4-1-0,260,Southpaw,SEXUAL CHOCOLATE,77,77
1441,Rory Singer," May 28, 1976", 11-9-0,185,Orthodox,OUTBURST,74,77
1442,Elvis Sinosic," Feb 13, 1971", 7-11-2,205,Orthodox,THE KING OF ROCK N' RUMBLE,75,77
1443,Dennis Siver," Jan 13, 1979", 23-11-0 (1 NC),145,Orthodox,,66,70
1444,Chas Skelly," May 11, 1985", 18-3-0 (1 NC),145,Orthodox,THE SCRAPPER,71,72
1445,Scott Smith," May 21, 1979", 18-11-0 (1 NC),185,Orthodox,HANDS OF STEEL,72,70
1446,Trevor Smith," Jan 05, 1981", 15-10-0,185,Orthodox,HOT SAUCE,75,75
1447,Anthony Smith," Jul 26, 1988", 35-16-0,205,Orthodox,LIONHEART,76,76
1448,Colton Smith," Aug 14, 1987", 7-4-0,155,Orthodox,,72,71
1449,Leslie Smith," Aug 17, 1982", 10-7-1,135,Orthodox,THE PEACEMAKER,69,66
1450,Devonte Smith," Jul 30, 1993", 11-2-0,155,Orthodox,KING KAGE,69,76
1451,Cole Smith," Apr 05, 1989", 7-2-0,135,Orthodox,THE COLE TRAIN,71,67
1452,Nate Smith," Apr 09, 1995", 6-1-0,125,Switch,THE SAVAGE,66,69
1453,Dmitrii Smoliakov," Aug 05, 1982", 9-3-0,253,Switch,THE LIFEGUARD,74,74
1454,Louis Smolka," Jul 16, 1991", 17-7-0,135,Orthodox,DA LAST SAMURAI,69,68
1455,Richie Smullen," Aug 17, 1991", 3-1-1,155,Orthodox,,69,68
1456,Devin Smyth," Jul 21, 1995", 4-2-0,170,Switch,,70,72
1457,Peter Sobotta," Jan 11, 1987", 17-7-1,170,Southpaw,,72,75
1458,Renato Sobral," Sep 07, 1975", 37-11-0,205,Orthodox,BABALU,73,75
1459,Rameau Thierry Sokoudjou," Apr 18, 1984", 18-18-0,205,Orthodox,THE AFRICAN ASSASSIN,70,78
1460,Joe Solecki," Aug 27, 1993", 11-2-0,155,Orthodox,,69,70
1461,Song Kenan," Mar 10, 1990", 16-6-0,170,Orthodox,THE ASSASSIN,72,71
1462,Song Yadong," Dec 02, 1997", 16-5-1 (1 NC),135,Orthodox,,68,67
1463,Chael Sonnen," Apr 03, 1977", 29-15-1,205,Southpaw,,73,73
1464,Jin Soo Son," Apr 01, 1993", 9-4-0,135,Orthodox,,66,69
1465,Sean Soriano," Oct 06, 1989", 14-7-0,155,Orthodox,,69,70
1466,Punahele Soriano," Nov 22, 1992", 8-1-0,185,Southpaw,PUNA,71,72
1467,Dmitry Sosnovskiy," Jul 06, 1989", 11-0-0,240,Orthodox,WICKED MACHINE,75,77
1468,Ben Sosoli," Dec 10, 1989", 7-3-0 (2 NC),265,Southpaw,COMBAT WOMBAT,72,72
1469,Krzysztof Soszynski," Aug 02, 1977", 26-12-1,205,Switch,THE POLISH EXPERIMENT,73,77
1470,George Sotiropoulos," Jul 09, 1977", 14-7-0,155,Orthodox,,70,71
1471,Greg Soto," Jun 03, 1986", 9-4-0,170,Orthodox,,71,73
1472,Joe Soto," Mar 22, 1987", 18-7-0,135,Orthodox,ONE BAD MOFO,66,65
1473,Andre Soukhamthath," Oct 23, 1988", 13-8-0,135,Orthodox,THE ASIAN SENSATION,69,70
1474,Jacare Souza," Dec 07, 1979", 26-10-0 (1 NC),185,Orthodox,,73,72
1475,Edimilson Souza," Oct 17, 1984", 15-5-0,145,Orthodox,KEVIN,72,74
1476,Livinha Souza," Mar 11, 1991", 14-3-0,115,Orthodox,THE BRAZILIAN GANGSTA,63,63
1477,Mario Souza," Oct 20, 1996", 12-1-0,185,Orthodox,CORACAO VALENTE,75,79
1478,Ryan Spann," Aug 24, 1991", 19-6-0,205,Orthodox,SUPERMAN,77,79
1479,Tommy Speer," Aug 20, 1984", 21-7-0,170,Orthodox,,70,71
1480,Sean Spencer," Jun 25, 1987", 12-6-0,170,Orthodox,BLACK MAGIC,70,74
1481,Felicia Spencer," Nov 29, 1990", 8-3-0,145,Orthodox,FEENOM,66,68
1482,Eric Spicely," Sep 29, 1986", 12-6-0,185,Orthodox,ZEBRINHA,73,73
1483,Daniel Spitz," Jul 31, 1990", 6-3-0,245,Orthodox,,79,82
1484,Serghei Spivac," Jan 24, 1995", 13-2-0,260,Orthodox,POLAR BEAR,75,78
1485,Daniel Spohn," Oct 12, 1984", 15-6-0,205,Southpaw,DRAGON,76,79
1486,Austin Springer," May 12, 1987", 12-4-0,145,Orthodox,,68,71
1487,Georges St-Pierre," May 19, 1981", 26-2-0,185,Orthodox,RUSH,71,76
1488,Ron Stallings," Jan 25, 1983", 14-8-0 (1 NC),170,Southpaw,THE CHOIR BOY,74,75
1489,Cody Stamann," Nov 09, 1989", 19-4-1,145,Orthodox,THE SPARTAN,66,64
1490,Brian Stann," Sep 24, 1980", 12-6-0,205,Orthodox,ALL AMERICAN,73,74
1491,Josh Stansbury," Nov 19, 1984", 4-8-0,205,Orthodox,THE SANDMAN,74,74
1492,Clifford Starks," Apr 25, 1981", 13-3-0,185,Orthodox,,72,78
1493,Kalib Starnes," Jan 06, 1975", 17-11-1,185,Orthodox,,75,74
1494,Laureano Staropoli," Feb 27, 1993", 9-4-0,185,Orthodox,PEPI,73,71
1495,Damian Stasiak," Feb 20, 1990", 10-6-0,135,Orthodox,WEBSTER,65,70
1496,Dominique Steele," Jan 27, 1988", 14-9-0,170,Orthodox,NON-STOP ACTION-PACKED,70,74
1497,Ricky Steele," May 26, 1988", 6-0-0,135,Orthodox,THE KARATE KID,69,74
1498,Steve Steinbeiss," May 05, 1981", 9-4-0,185,Orthodox,THE HOOLIGAN,75,75
1499,Jeremy Stephens," May 25, 1986", 28-19-0 (1 NC),145,Orthodox,LIL' HEATHEN,69,71
1500,Aljamain Sterling," Jul 31, 1989", 20-3-0,135,Orthodox,FUNK MASTER,67,71
1501,Joe Stevenson," Jun 15, 1982", 33-16-0,145,Orthodox,DADDY,67,70
1502,Maia Stevenson," Mar 19, 1982", 6-5-0,115,Orthodox,,64,62
1503,Darren Stewart," Dec 30, 1990", 12-7-0 (2 NC),185,Orthodox,THE DENTIST,72,74
1504,Kyle Stewart," Jan 31, 1989", 11-3-0,170,Orthodox,GUNZ UP,72,76
1505,Lazar Stojadinovic," Mar 22, 1989", 12-5-0,145,Southpaw,THE BRONX BOMBER,67,68
1506,Julija Stoliarenko," Apr 08, 1993", 9-6-1,135,Unknown,,67,66
1507,Dustin Stoltzfus," Nov 15, 1991", 13-3-0,185,Orthodox,,72,75
1508,Niklas Stolze," Dec 28, 1992", 12-5-0,170,Switch,GREEN MASK,72,75
1509,Ken Stone," Oct 08, 1982", 11-4-0,135,Southpaw,,68,71
1510,Rick Story," Aug 28, 1984", 19-9-0,170,Southpaw,THE HORROR,69,71
1511,Darko Stosic," Feb 09, 1992", 13-4-0,205,Orthodox,,72,76
1512,Sam Stout," Apr 23, 1984", 20-12-1,155,Orthodox,HANDS OF STONE,69,70
1513,Jesse Strader," May 29, 1991", 5-2-0,135,Orthodox,SUI GENERIS,67,70
1514,Daniel Straus," Jul 27, 1984", 24-7-0 (1 NC),145,Unknown,,67,71
1515,Sean Strickland," Feb 27, 1991", 24-3-0,185,Orthodox,TARZAN,73,76
1516,Mark Striegl," Jun 23, 1988", 18-3-0 (1 NC),135,Southpaw,MUGEN,68,70
1517,Stefan Struve," Feb 18, 1988", 33-13-0,265,Orthodox,SKYSCRAPER,83,84
1518,Tatiana Suarez," Dec 19, 1990", 9-0-0,115,Southpaw,,65,66
1519,George Sullivan," Mar 13, 1981", 17-7-0 (1 NC),170,Orthodox,THE SILENCER,72,73
1520,Justin Sumter," Nov 16, 1989", 7-3-0,185,Southpaw,,74,80
1521,Daniel Swain," Jan 30, 1991", 20-10-1,145,Orthodox,,69,70
1522,Cub Swanson," Nov 02, 1983", 27-12-0,145,Orthodox,,68,70
1523,Mike Swick," Jun 19, 1979", 15-6-0,170,Orthodox,QUICK,73,77
1524,Kevin Syler," Jul 29, 1993", 10-1-0,155,Switch,EL NINO BALA,69,71
1525,Tim Sylvia," Mar 05, 1976", 31-10-0 (1 NC),265,Orthodox,THE MAINE-IAC,80,80
1526,Justin Tafa," Dec 13, 1993", 4-3-0,264,Southpaw,BAD MAN,72,74
1527,Khalid Taha," Feb 15, 1992", 13-4-0 (1 NC),135,Orthodox,THE WARRIOR,65,69
1528,Mairbek Taisumov," Aug 08, 1988", 27-6-0,155,Orthodox,BECKAN,69,73
1529,Nordine Taleb," Jun 10, 1981", 15-7-0,170,Orthodox,,73,74
1530,Akitoshi Tamura," May 31, 1980", 21-18-2,135,Orthodox,THE IRONMAN,69,70
1531,Issei Tamura," Mar 12, 1984", 10-8-0,135,Orthodox,,65,63
1532,Michinori Tanaka," Oct 04, 1990", 11-3-0,135,Orthodox,,65,67
1533,Evan Tanner," Feb 11, 1971", 32-8-0,185,Orthodox,,72,74
1534,Manny Tapia," Mar 14, 1981", 12-14-1,135,Orthodox,THE MANGLER,65,67
